"english","mr","hi","decision","reviewer","occurrences","first_path","first_line","first_kind","text_sha256"
"15 minutes","15 मिनिटे","15 मिनट","translate","sagarbora91","1","www/index.html","693","element:option","2f18bc2a00e782d933b393e8b28adb86b81162d593dc4d307e70b38e8d6428cb"
"Ask for the Admin PIN when the app starts","ॲप सुरू झाल्यावर ॲडमिन पिनसाठी विचारा","ऐप शुरू होने पर एडमिन पिन मांगें","translate","sagarbora91","1","www/index.html","699","element:label","582cb22802c349fed88299984a7f8e8a8e490cf984175484facaac46c457c997"
"R0-W1 Slice D (P1-37): cold-start verify-only gate on the Admin PIN. Needs an Admin PIN to turn on; a device restored without its PIN starts unlocked (fail-open).","R0-W1 स्लाइस D (P1-37): प्रशासक पिनवर कोल्ड-स्टार्ट व्हेरीफाय-ओन्ली गेट. चालू करण्यासाठी प्रशासक पिन आवश्यक आहे; पिनशिवाय पुनर्संचयित केलेले डिव्हाइस अनलॉक सुरू होते (अयशस्वी-ओपन).","R0-W1 स्लाइस D (P1-37): एडमिन पिन पर कोल्ड-स्टार्ट वेरिफ़ाई-ओनली गेट। चालू करने के लिए एक व्यवस्थापक पिन की आवश्यकता है; बिना पिन के पुनर्स्थापित किया गया उपकरण अनलॉक (फ़ेल-ओपन) प्रारंभ हो जाता है।","translate","sagarbora91","1","www/index.html","699","attribute:title","96ea1e9e1e28d1b8b633d0afca3fd4620155c7ef589760f6a3bd8cfe3ad647bd"
"Allow owner-approved exports on this device","या डिव्हाइसवर मालक-मंजूर निर्यात करण्यास अनुमती द्या","इस डिवाइस पर स्वामी-अनुमोदित निर्यात की अनुमति दें","translate","sagarbora91","1","www/index.html","704","element:label","22196dbb2f5452f435c61c81ab46388a2576e6a7773b944730f9395553353a54"
"View export register","निर्यात रजिस्टर पहा","निर्यात रजिस्टर देखें","translate","sagarbora91","1","www/index.html","707","element:button","82311d7154c8200a1e0455b76df0fe7973e8aa42b5f58947713cbcd667e0b3c0"
"Treat this as a production business device","हे उत्पादन व्यवसाय साधन म्हणून हाताळा","इसे एक उत्पादन व्यवसाय उपकरण के रूप में मानें","translate","sagarbora91","1","www/index.html","713","element:label","ca55149be62e3bf7cd338a1433b6ad49f9787cea50cf2207c6d14cf223f05936"
"Re-check device","डिव्हाइस पुन्हा तपासा","डिवाइस को दोबारा जांचें","translate","sagarbora91","1","www/index.html","715","element:button","2f29109148188e90b4dadeb53e1650b0cbcba107115d781b49a04d550d4fff23"
"Current role (this device)","वर्तमान भूमिका (हे डिव्हाइस)","वर्तमान भूमिका (यह उपकरण)","translate","sagarbora91","1","www/index.html","718","element:h4","bd74a46c80299d064f6e632b3689a738e56a86741caf5d91815e74ee7131fee0"
"PIN for module entry","मॉड्यूल एंट्रीसाठी पिन","मॉड्यूल प्रविष्टि के लिए पिन","translate","sagarbora91","1","www/index.html","748","element:h4","3c3526048e255e7126175c0a87c15a39c88013f83144d90237d3d5752033ed43"
"Module entry PIN settings","मॉड्यूल एंट्री पिन सेटिंग्ज","मॉड्यूल प्रविष्टि पिन सेटिंग्स","translate","sagarbora91","1","www/index.html","755","attribute:aria-label","5899ed1b86c93a35038d2e768145589540c1dbc77298884ac363ce6071a48fdb"
"Run diagnostics","निदान चालवा","निदान चलाएँ","translate","sagarbora91","1","www/index.html","765","element:button","a00a88615fbafc23671fc6b37b2fdbaede5e8553ef5e3abe644cbd1524b6c636"
"Export sanitised support bundle","सॅनिटाइज्ड सपोर्ट बंडल निर्यात करा","सेनिटाइज्ड सपोर्ट बंडल निर्यात करें","translate","sagarbora91","1","www/index.html","766","element:button","9d7ea91ed1654889a4119a933cb570488b477ef2d3d726e0de5663b1a6ba0a68"
"Encryption probe (R0-W2 · S0)","एन्क्रिप्शन प्रोब (R0-W2 · S0)","एन्क्रिप्शन जांच (R0-W2 · S0)","translate","sagarbora91","1","www/index.html","776","element:h4","fd3b7364daccb51cc07e64d3e494862c128eb4852352598972de0a6d24e8a101"
"Run encryption probe","एनक्रिप्शन प्रोब चालवा","एन्क्रिप्शन जांच चलाएँ","translate","sagarbora91","1","www/index.html","779","element:button","7d3492962d451feff8bea1ddfbdb8882a13e20efce1ce2c0cdc34a4066224c54"
"What's new in V5.5","V5.5 मध्ये नवीन काय आहे","V5.5 में नया क्या है?","translate","sagarbora91","1","www/index.html","820","element:h4","a7f385dd7e46cabd81b85cefc15147f6f187f0dda04d1ee193767625606187e8"
"📋 Detailed change log (V5.5)","📋 तपशीलवार बदल लॉग (V5.5)","📋 विस्तृत परिवर्तन लॉग (V5.5)","translate","sagarbora91","1","www/index.html","834","element:summary","fd099999763eb9c56b6077c1233a62708f0c45b4d4201748732ac8d4aec763ff"
"Switch module","मॉड्यूल स्विच करा","मॉड्यूल स्विच करें","translate","sagarbora91","1","www/index.html","880","attribute:title","2c4e7b92814021da472ca753fe412314699c46ae35ca8208f3ca16a7410431d3"
"Working area","कार्यक्षेत्र","कार्य क्षेत्र","translate","sagarbora91","1","www/index.html","881","element:button","b47d235b780db740d74f86d1337dfc1852a6ef23e31cd135606be34f262d0874"
"Generate any report (PDF)","कोणताही अहवाल तयार करा (पीडीएफ)","कोई भी रिपोर्ट तैयार करें (पीडीएफ)","translate","sagarbora91","1","www/index.html","900","attribute:title","5d27d72967808f3bdd908ffabce410d31d503670988075fc9474a5dfb87cf975"
"Report","अहवाल द्या","रिपोर्ट करें","translate","sagarbora91","1","www/index.html","902","element:button","b6ce788d9786917c9d19adaa0d904213365607c7f683d7277f508dcf142b4cc2"
"Business module","व्यवसाय मॉड्यूल","बिजनेस मॉड्यूल","translate","sagarbora91","1","www/index.html","917","attribute:title","329a1379161182cf0aa26d52693d18968a9821f3520855d299251b190f7245c5"
"Store context:","स्टोअर संदर्भ:","स्टोर संदर्भ:","translate","sagarbora91","1","www/index.html","1272","script-message","84b01ad2cfe2b126a7cbc44344392b7fb4a3217809b35e70d453aa9a429d86c7"
"Admin PIN required to switch to a higher-access role","उच्च-प्रवेश भूमिकेवर स्विच करण्यासाठी प्रशासक पिन आवश्यक आहे","उच्च-पहुँच वाली भूमिका पर स्विच करने के लिए व्यवस्थापक पिन आवश्यक है","translate","sagarbora91","1","www/index.html","1333","script-message","0cfe967bb187cbc619cf0b3d2a7785f21a12f476ff0be1e9c29899e538c29a00"
"Switched to","वर स्विच केले","पर स्विच किया गया","translate","sagarbora91","1","www/index.html","1349","script-message","4a4ee64fb1ee4d881941431553d95db1f8cd7feffb9bf46b766bff3f1701f917"
"Storage full — export a backup (Settings → Data & backup) to free space.","स्टोरेज भरले आहे — मोकळ्या जागेवर बॅकअप (सेटिंग्ज → डेटा आणि बॅकअप) निर्यात करा.","भंडारण पूर्ण - खाली स्थान पर एक बैकअप (सेटिंग्स → डेटा और बैकअप) निर्यात करें।","translate","sagarbora91","1","www/index.html","1453","script-message","0abce05e37b276a1447007cdcdefe50fb4386601f4e3c785ec38e82eaf1f9c46"
"Admin auto-locked after","प्रशासक नंतर स्वयं-लॉक","इसके बाद एडमिन ऑटो-लॉक हो गया","translate","sagarbora91","1","www/index.html","1683","script-message","efbd15cbf3493922a4dd966e376d2fdbabedcd230f94ca99d077475f2ea0ca87"
"Staff sign-in PIN:","कर्मचारी साइन-इन पिन:","स्टाफ़ साइन-इन पिन:","translate","sagarbora91","1","www/index.html","1697","script-message","d6bb0a39cb64f672bb70f7b332c1362a76d7b21d5f406c5a52e4c1bd386dd96b"
"Set an Admin PIN first (Settings → Admin)","प्रथम प्रशासक पिन सेट करा (सेटिंग्ज → प्रशासन)","पहले एक एडमिन पिन सेट करें (सेटिंग्स → एडमिन)","translate","sagarbora91","1","www/index.html","1699","script-message","0cb4fb581433ba0e3eafbb69468c07463c903adf423993978043a91913e652cd"
"Auto-lock:","स्वयं-लॉक:","ऑटो-लॉक:","translate","sagarbora91","1","www/index.html","1719","script-message","84a3aad6403e7ffa2f65b26b7cb0041722792b7f093746811a4bb4048c00c71f"
"Too many wrong PINs for","साठी बरेच चुकीचे पिन","बहुत सारे ग़लत पिन","translate","sagarbora91","1","www/index.html","1728","script-message","cda3e762d7bc593e714e839d4d4edfefd053b7375f7d8a86133d78a601c07688"
"Incorrect PIN","चुकीचा पिन","ग़लत पिन","translate","sagarbora91","1","www/index.html","1730","script-message","f76f82ec1faaeeced40b1d5826adba52c2957f7206417272b8acb645b0dadc24"
"Unlock admin to manage staff PINs","कर्मचारी पिन व्यवस्थापित करण्यासाठी प्रशासक अनलॉक करा","स्टाफ पिन प्रबंधित करने के लिए एडमिन को अनलॉक करें","translate","sagarbora91","1","www/index.html","1733","script-message","7fb9066639bf6a0aa1cbdc58c7014f66d56f8749ec7b11156132c71abf750f2e"
"No staff in the Employee Master yet","एम्प्लॉई मास्टरमध्ये अद्याप कर्मचारी नाही","कर्मचारी मास्टर में अभी तक कोई स्टाफ नहीं है","translate","sagarbora91","1","www/index.html","1734","script-message","a83dc0ca222cb0b4e0886a5c77f59f3ba37a87ac0417fe81688b973677c24a18"
"Invalid choice","अवैध निवड","अमान्य विकल्प","translate","sagarbora91","1","www/index.html","1737","script-message","14c4029c115ccdbc99bc3dc090f45ecb65cc6dcc5c0fc3c2258615a12af72786"
"— Shared / nobody —","— सामायिक केलेले / कोणीही नाही —","- साझा / कोई नहीं -","translate","sagarbora91","1","www/index.html","1746","element:option","39bf86d9bf7fbddcc050df91ffb810d47c4b6aa88f84d07dfd38777b9a496edf"
"Activity cleared","क्रियाकलाप साफ केला","गतिविधि साफ़ हो गई","translate","sagarbora91","1","www/index.html","1864","script-message","71eb4b82861abd3b7155db5a80bc7040dc57153cfc96535719caea21fa2e3daa"
"Native security check is unavailable in this preview/build.","या पूर्वावलोकन/बिल्डमध्ये मूळ सुरक्षा तपासणी अनुपलब्ध आहे.","इस पूर्वावलोकन/बिल्ड में मूल सुरक्षा जांच उपलब्ध नहीं है।","translate","sagarbora91","1","www/index.html","1899","script-message","fe2e79f9328ce106a7d06350ccb66972986d9d2323b5c4a21a18cf55bcdac224"
"Device posture check failed.","डिव्हाइस पवित्रा तपासणी अयशस्वी.","डिवाइस की स्थिति की जांच विफल रही.","translate","sagarbora91","1","www/index.html","1910","script-message","cca3d7e72b3927609e45d639c5c682fbbb9d62de657ae75f2bfdc37b20eed990"
"Production-device mode disabled.","उत्पादन-डिव्हाइस मोड अक्षम.","उत्पादन-डिवाइस मोड अक्षम किया गया.","translate","sagarbora91","1","www/index.html","1916","script-message","49cfc02c9057f00a5e0d90cc9b5c57222292d23519d59ae0fc12d5a885a0bec2"
"Production mode cannot be enabled on this device/build. Resolve the listed debug, root, downgrade or USB-debugging warnings and install a signed release build.","या डिव्हाइस/बिल्डवर उत्पादन मोड सक्षम केला जाऊ शकत नाही. सूचीबद्ध डीबग, रूट, डाउनग्रेड किंवा USB-डीबगिंग चेतावणींचे निराकरण करा आणि स्वाक्षरी केलेले प्रकाशन बिल्ड स्थापित करा.","इस डिवाइस/बिल्ड पर उत्पादन मोड सक्षम नहीं किया जा सकता। सूचीबद्ध डिबग, रूट, डाउनग्रेड या यूएसबी-डीबगिंग चेतावनियों का समाधान करें और एक हस्ताक्षरित रिलीज़ बिल्ड स्थापित करें।","translate","sagarbora91","1","www/index.html","1918","script-message","4fefaf9dac074059585ba173e68cb69adcca242f0f8926fb14a64621d67ad30d"
"Confirm all five device controls: • Dedicated business device • Screen lock enabled • USB debugging off • Install unknown apps blocked • Signed release APK only Continue?","सर्व पाच डिव्हाइस नियंत्रणांची पुष्टी करा: • समर्पित व्यवसाय डिव्हाइस • स्क्रीन लॉक सक्षम • USB डीबगिंग बंद • अज्ञात ॲप्स अवरोधित स्थापित करा • केवळ स्वाक्षरी केलेले रिलीज APK सुरू ठेवायचे?","सभी पांच डिवाइस नियंत्रणों की पुष्टि करें: • समर्पित व्यावसायिक डिवाइस • स्क्रीन लॉक सक्षम • यूएसबी डिबगिंग बंद • अज्ञात ऐप्स इंस्टॉल करना अवरुद्ध • केवल हस्ताक्षरित रिलीज एपीके जारी रखें?","translate","sagarbora91","1","www/index.html","1919","script-message","bd249a9a3189a9ad67a1de29ed170abd3193291f609d52fc4767f538158668a1"
"Production-device attestation could not be saved.","उत्पादन-डिव्हाइस प्रमाणीकरण जतन केले जाऊ शकले नाही.","उत्पादन-डिवाइस सत्यापन सहेजा नहीं जा सका.","translate","sagarbora91","1","www/index.html","1922","script-message","2eb9ca30d7bdf8a72e8bf630aa2763cc593a9dee100ecef617f7c254fc0f9b47"
"Production-device mode enabled.","उत्पादन-डिव्हाइस मोड सक्षम.","उत्पादन-डिवाइस मोड सक्षम किया गया.","translate","sagarbora91","1","www/index.html","1924","script-message","e0222ef4dc029d4e9dfc738d81d21c3f4d1260b9c2915fb9024b39872bd460b6"
"Screenshot protection could not be enabled.","स्क्रीनशॉट संरक्षण सक्षम केले जाऊ शकत नाही.","स्क्रीनशॉट सुरक्षा सक्षम नहीं की जा सकी.","translate","sagarbora91","1","www/index.html","1933","script-message","e2212cae45427821c7fc544a66e652b80550ac20ceed18dba2d3dc2458330090"
"PIN confirmation did not match","पिन पुष्टीकरण जुळले नाही","पिन पुष्टिकरण मेल नहीं खाता","translate","sagarbora91","1","www/index.html","2125","script-message","e21a87ea7e4ab987fd9c6b1f52fc3ad1d4ece97522db5180f4cfd509424471c6"
"Ask the owner to set up the Owner PIN","मालकाला मालकाचा पिन सेट करण्यास सांगा","मालिक से ओनर पिन सेट करने के लिए कहें","translate","sagarbora91","1","www/index.html","2136","script-message","8674027843ffcf1756fdd49bedcde7732cba921c40cf3ad94e0308eefe62442a"
"No Owner PIN is set on this device yet. The Owner PIN belongs to the owner. Staff should not create it. Are you the owner and want to set it up now?","या डिव्हाइसवर अद्याप कोणताही मालक पिन सेट केलेला नाही. मालकाचा पिन मालकाचा असतो. कर्मचाऱ्यांनी ते तयार करू नये. तुम्ही मालक आहात आणि ते आता सेट करू इच्छिता?","इस डिवाइस पर अभी तक कोई स्वामी पिन सेट नहीं है। स्वामी पिन स्वामी का होता है. स्टाफ को इसे नहीं बनाना चाहिए. क्या आप स्वामी हैं और इसे अभी स्थापित करना चाहते हैं?","translate","sagarbora91","1","www/index.html","2136","script-message","6295115dfc1c72d4eb5182bea01e6c3f41b36ac1284e2151598630ad3dd88ad2"
"Owner setup complete","मालक सेटअप पूर्ण","स्वामी सेटअप पूर्ण","translate","sagarbora91","1","www/index.html","2141","script-message","df2fe857cad55c8e33fa83e25bef8b4e69daa78ab99b7d02580d2de619e56067"
"Owner unlocked","मालकाने अनलॉक केले","मालिक ने ताला खोल दिया","translate","sagarbora91","1","www/index.html","2148","script-message","6a7a6efc055db6201a2b9b8d9e200f0e790f6fe8271d678fe57b2d053d8ce16d"
"Incorrect current Owner PIN","चुकीचा वर्तमान मालक पिन","ग़लत वर्तमान स्वामी पिन","translate","sagarbora91","1","www/index.html","2162","script-message","31a8eac11f2688ebaf5509825921596da6023e52151796a2252c4391bc2108bf"
"Set an Owner PIN before enabling module entry protection","मॉड्यूल एंट्री संरक्षण सक्षम करण्यापूर्वी मालकाचा पिन सेट करा","मॉड्यूल प्रवेश सुरक्षा सक्षम करने से पहले एक स्वामी पिन सेट करें","translate","sagarbora91","1","www/index.html","2184","script-message","92f7f657a312045ad8a0b73b37a7e3b52b0bfd37d9fa6e853deb8c48f56708e6"
