"english","mr","hi","decision","reviewer","occurrences","first_path","first_line","first_kind","text_sha256"
"cross-checks","उलट तपासणी","क्रॉस-चेक","pending-fluent-review","","1","www/index.html","4322","element:summary","ce3d05e4743923f5da98f978c9a8ef6a5e5c9ed06bf3c4da9e253d3532ecafb8"
"Reconciliation","सलोखा","सुलह","pending-fluent-review","","1","www/index.html","4322","element:summary","c24d50c6e956930478448e49d4c39a311d845aea4b0bd2b0355e912975294cd5"
"Source A","स्रोत ए","स्रोत ए","pending-fluent-review","","1","www/index.html","4325","element:th","f72338465fc2cf2f1a63981f0288d2085e08249261311bb68a20a021db354f06"
"Source B","स्रोत बी","स्रोत बी","pending-fluent-review","","1","www/index.html","4325","element:th","6f0f415dec910c547a8d03223d224bdcca7f0fd6b96cac66b5552d103e35307e"
"recent cross-module flow","अलीकडील क्रॉस-मॉड्यूल प्रवाह","हालिया क्रॉस-मॉड्यूल प्रवाह","pending-fluent-review","","1","www/index.html","4330","element:summary","e8292180404bf0e4140496f21a83eb0780a056dfc5c3e67c7e7606a6542d2884"
"Sync activity","समक्रमण क्रियाकलाप","सिंक गतिविधि","pending-fluent-review","","1","www/index.html","4330","element:summary","eb7e28e47476057990ac3515f9f399113c92f9a1b3e22a8f2951dfa4fdf63332"
"Copied to clipboard","क्लिपबोर्डवर कॉपी केले","क्लिपबोर्ड पर कॉपी किया गया","pending-fluent-review","","1","www/index.html","4337","script-message","d37078fe6a1faa15fc48c293dd1d4c37698eb0cfafae8ca1c456b0cc4600db11"
"Copy not supported","कॉपी समर्थित नाही","प्रतिलिपि समर्थित नहीं है","pending-fluent-review","","1","www/index.html","4339","script-message","075b8c67cc57bfc5ff780e21dd4e460ac4c4d801af43aa07f3ca7b547e0dd827"
"No WhatsApp messages available yet","अद्याप कोणतेही WhatsApp संदेश उपलब्ध नाहीत","अभी तक कोई व्हाट्सएप संदेश उपलब्ध नहीं है","pending-fluent-review","","1","www/index.html","4942","script-message","23cd9cf85b3ff40169345005207a414782f2bf9f08ad85e4a81f834185042ed3"
"Message","संदेश","संदेश","pending-fluent-review","","1","www/index.html","4960","element:label","2f77668a9dfbf8d5848b9eeb4a7145ca94c6ed9236e4a773f6dcafa5132b2f91"
"Preview (edit before sending)","पूर्वावलोकन (पाठवण्यापूर्वी संपादित करा)","पूर्वावलोकन (भेजने से पहले संपादित करें)","pending-fluent-review","","1","www/index.html","4961","element:label","9304bce26d2c92570fbcae6c81efdd38f65e89544eb3169152de8f95a434d071"
