"english","mr","hi","decision","reviewer","occurrences","first_path","first_line","first_kind","text_sha256"
"Switch Mobile / Desktop layout","मोबाइल / डेस्कटॉप लेआउट स्विच करा","मोबाइल/डेस्कटॉप लेआउट स्विच करें","pending-fluent-review","","2","www/index.html","178","attribute:title","85603424b4bf6591bde634249232f27f4d2f10ea99ee57ed4d8c9a1327803dff"
"Full name *","पूर्ण नाव*","पूरा नाम*","pending-fluent-review","","2","www/index.html","473","element:label","dd336522354f6e613f4d26fcf6d97bc3e5d5719937999444b1699ac8bd7f11c6"
"e.g. Ravi Kumar","उदा. रवी कुमार","जैसे रवि कुमार","pending-fluent-review","","2","www/index.html","473","attribute:placeholder","84545b090421dc4d9d1d4a7ddde92f58cd349b41c24efd4b1ebea9b36938334a"
"PIN must be at least","पिन किमान असणे आवश्यक आहे","पिन कम से कम होना चाहिए","pending-fluent-review","","2","www/index.html","1744","script-message","8dc7b95f266e5b38657e50f710cb7607be83f6cad00343e4e93a8390c26f8c57"
"Incorrect Owner PIN","चुकीचा मालक पिन","ग़लत स्वामी पिन","pending-fluent-review","","2","www/index.html","2150","script-message","ef5b5c8daa7926cd47795e7e329fb48a6f0846cfa3ce1b777f75e0e8b019773d"
"Name is required","नाव आवश्यक आहे","नाम आवश्यक है","pending-fluent-review","","2","www/index.html","5547","script-message","604fd1b2e29c688a7efbb25cdfc4f7d3502da6b1e395aa9fec82e3c0c48f3de2"
"The owner is the super-admin, not an employee","मालक हा सुपर-प्रशासक आहे, कर्मचारी नाही","मालिक सुपर-एडमिन है, कर्मचारी नहीं","pending-fluent-review","","2","www/index.html","5550","script-message","65c704ea14f5c0f122669bd6def767b40b87274d924e202738e21fc7c0e56187"
"Backup blocked:","बॅकअप अवरोधित:","बैकअप अवरुद्ध:","pending-fluent-review","","2","www/index.html","5841","script-message","e433e9d0640103d2e60e5fb07c49ff2519b1e8addfee67d9ee8cb68d92a976b7"
"Could not read the device backup","डिव्हाइस बॅकअप वाचू शकलो नाही","डिवाइस बैकअप नहीं पढ़ सका","pending-fluent-review","","2","www/index.html","6006","script-message","dffaab8dd6834b1039153e48235d08373fe5279e7001ac9510e6de332fe3472a"
"This backup is encrypted for its original device or is damaged. Use an encrypted .sccbak portable backup to migrate.","हा बॅकअप त्याच्या मूळ डिव्हाइससाठी कूटबद्ध केलेला आहे किंवा खराब झाला आहे. स्थलांतरित करण्यासाठी एनक्रिप्टेड .sccbak पोर्टेबल बॅकअप वापरा.","यह बैकअप अपने मूल डिवाइस के लिए एन्क्रिप्टेड है या क्षतिग्रस्त है। माइग्रेट करने के लिए एन्क्रिप्टेड .scbak पोर्टेबल बैकअप का उपयोग करें।","pending-fluent-review","","2","www/index.html","6009","script-message","9f367ddf4cc7a78b76c7d97259fd42ead327ebab5beb1a6f6876c4a02d0e288d"
"Encrypted backup reader is unavailable. Restart the app and try again.","एनक्रिप्टेड बॅकअप रीडर अनुपलब्ध आहे. ॲप रीस्टार्ट करा आणि पुन्हा प्रयत्न करा.","एन्क्रिप्टेड बैकअप रीडर अनुपलब्ध है. ऐप को पुनरारंभ करें और पुनः प्रयास करें।","pending-fluent-review","","2","www/index.html","6013","script-message","d0f1aae37222bd558d939235ce851495f7d6430cda259bdba8a5af845c348b3f"
"Restore blocked:","अवरोधित पुनर्संचयित करा:","अवरुद्ध पुनर्स्थापित करें:","pending-fluent-review","","2","www/index.html","6102","script-message","c9c904dde4ab7c0175a31a00131ce80fa46950c2b7b4d1ef5aa77f6ae444b82d"
"Global (80)","जागतिक (८०)","वैश्विक (80)","pending-fluent-review","","2","www/modules/cro_audit/index.html","956","attribute:placeholder","1c931c2df75d8217382b8c2407717554267bf9ab8007382a1e5c203c8609cc28"
"Global (30)","जागतिक (३०)","वैश्विक (30)","pending-fluent-review","","2","www/modules/cro_audit/index.html","960","attribute:placeholder","a03d62ba13d4eec9bfdf7064794786521434eeaaba1cb2c619796ab5b8235c57"
"Global (120)","जागतिक (१२०)","वैश्विक (120)","pending-fluent-review","","2","www/modules/cro_audit/index.html","964","attribute:placeholder","dfc96f606cd098f01f2eb487ad6f3b7dc7475b65e2ea106e5a270cdda71d2c58"
"Deleted","हटवले","हटा दिया गया","pending-fluent-review","","2","www/modules/cro_audit/index.html","1932","script-message","b48ff39c2e0f5451b9b29b09c2a74d2760db230749ffd48a6e901cc91fef9a8d"
"Visitor not found","पाहुणा सापडला नाही","विज़िटर नहीं मिला","pending-fluent-review","","2","www/modules/dsr/index.html","2624","script-message","28989b40a2cd329db7cfaaefbba29af4cb1587541dfb6a77c016d38df084b31d"
"Enter a valid mobile number","एक वैध मोबाइल नंबर प्रविष्ट करा","एक वैध मोबाइल नंबर दर्ज करें","pending-fluent-review","","2","www/modules/dsr/index.html","2742","script-message","89e47da7e75b85657059dd2663b9fee1f9a72391f591683d48494b6a8e709765"
"Photo too large (max 4MB)","फोटो खूप मोठा (कमाल 4MB)","फ़ोटो बहुत बड़ी है (अधिकतम 4MB)","pending-fluent-review","","2","www/modules/expense/index.html","1088","script-message","7e602d2b8cd283c741ee5f7af03c6c304ef5dfc25e762041a664d880e0ac9535"
"Approved entry is locked","मंजूर नोंद लॉक केली आहे","स्वीकृत प्रविष्टि लॉक कर दी गई है","pending-fluent-review","","2","www/modules/expense/index.html","1177","script-message","c3004ae13ea6f14d44d32c862278da52cb01fb9e8acb68e279d89b63e72ba4f0"
"Template name is required","टेम्पलेट नाव आवश्यक आहे","टेम्प्लेट नाम आवश्यक है","pending-fluent-review","","2","www/modules/expense/index.html","1404","script-message","daeed4c50d96bec6a5bde1475f34ee7dd1c371e2b9251d6b73bbb5c380b457ec"
"Enter a typical amount greater than 0","सामान्य रक्कम 0 पेक्षा जास्त प्रविष्ट करा","0 से अधिक सामान्य राशि दर्ज करें","pending-fluent-review","","2","www/modules/expense/index.html","1405","script-message","fe109b14a3b7fe596b923b58dc51d0e7ae0d17066efa1c548a9c9f9e72a42e15"
"Due day must be between 1 and 31","देय दिवस 1 आणि 31 च्या दरम्यान असणे आवश्यक आहे","नियत दिन 1 से 31 के बीच होना चाहिए","pending-fluent-review","","2","www/modules/expense/index.html","1406","script-message","83592fb2c27358de24a8bb213e3c0c45880c8ba705e2feb643f75073080b1031"
"required — why this late change?","आवश्यक — हा उशीरा बदल का?","आवश्यक - यह देर से परिवर्तन क्यों?","pending-fluent-review","","2","www/modules/expense/index.html","1482","attribute:placeholder","35ebe4d9be14693c6a8a128459af094ef97febed1bedc40129242ea250abd675"
"Historical view is read-only — close is available only for today","ऐतिहासिक दृश्य केवळ वाचनीय आहे — बंद फक्त आजसाठी उपलब्ध आहे","ऐतिहासिक दृश्य केवल पढ़ने के लिए है - क्लोज़ केवल आज के लिए उपलब्ध है","pending-fluent-review","","2","www/modules/expense/index.html","1732","script-message","e86a666837c295c9964f423e9754196464e390bc2aad612262e70c4d4f04908d"
"explain the difference","फरक स्पष्ट करा","अंतर स्पष्ट करें","pending-fluent-review","","2","www/modules/expense/index.html","1740","attribute:placeholder","cf6405febdf557e7d533f8c6e59a37b2887f3959eba1cfb408b4b92289141412"
"Cashier cannot approve own day","रोखपाल स्वतःचा दिवस मंजूर करू शकत नाही","खजांची स्वयं का दिन स्वीकृत नहीं कर सकता","pending-fluent-review","","2","www/modules/expense/index.html","1758","script-message","4a3299752ba925db867fb3d8ea3765f3d072c1b6b8a6174b0837c3e9e1b9ba50"
"Only Owner can reopen","फक्त मालकच पुन्हा उघडू शकतो","केवल स्वामी ही पुनः खोल सकता है","pending-fluent-review","","2","www/modules/expense/index.html","1764","script-message","fbc1e82405bdf3d2127f3dcca0025ee79581a9bb3909d22a6b409c8e36ba922e"
